Ticker,Name,Weight,Shares,Price,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
SPGI UN Equity,S&P Global Inc,--,--,544.29,,,,,,,,,,,,,
MDT UN Equity,Medtronic PLC,--,--,89.24,,,,,,,,,,,,,
VTRS UW Equity,Viatris Inc,--,--,8.825,,,,,,,,,,,,,
CVS UN Equity,CVS Health Corp,--,--,61.46,,,,,,,,,,,,,
DD UN Equity,DuPont de Nemours Inc,--,--,69.47,,,,,,,,,,,,,
MU UW Equity,Micron Technology Inc,--,--,104.77,,,,,,,,,,,,,
MSI UN Equity,Motorola Solutions Inc,--,--,434.84,,,,,,,,,,,,,
CBOE UF Equity,Cboe Global Markets Inc,--,--,245.96,,,,,,,,,,,,,
NEM UN Equity,Newmont Corp,--,--,62.28,,,,,,,,,,,,,
NKE UN Equity,NIKE Inc,--,--,74.2,,,,,,,,,,,,,
NI UN Equity,NiSource Inc,--,--,42.57,,,,,,,,,,,,,
NSC UN Equity,Norfolk Southern Corp,--,--,275.61,,,,,,,,,,,,,
PFG UW Equity,Principal Financial Group Inc,--,--,75.55,,,,,,,,,,,,,
ES UN Equity,Eversource Energy,--,--,65.55,,,,,,,,,,,,,
NOC UN Equity,Northrop Grumman Corp,--,--,585.85,,,,,,,,,,,,,
WFC UN Equity,Wells Fargo & Co,--,--,77.91,,,,,,,,,,,,,
NUE UN Equity,Nucor Corp,--,--,138.57,,,,,,,,,,,,,
OXY UN Equity,Occidental Petroleum Corp,--,--,43.34,,,,,,,,,,,,,
OMC UN Equity,Omnicom Group Inc,--,--,71.04,,,,,,,,,,,,,
OKE UN Equity,ONEOK Inc,--,--,79.44,,,,,,,,,,,,,
RJF UN Equity,Raymond James Financial Inc,--,--,162.21,,,,,,,,,,,,,
PCG UN Equity,PG&E Corp,--,--,13.985,,,,,,,,,,,,,
PH UN Equity,Parker-Hannifin Corp,--,--,708.3,,,,,,,,,,,,,
ROL UN Equity,Rollins Inc,--,--,57.59,,,,,,,,,,,,,
PPL UN Equity,PPL Corp,--,--,35.76,,,,,,,,,,,,,
APTV UN Equity,Aptiv PLC,--,--,66.16,,,,,,,,,,,,,
COP UN Equity,ConocoPhillips,--,--,92.91,,,,,,,,,,,,,
PHM UN Equity,PulteGroup Inc,--,--,116.66,,,,,,,,,,,,,
PNW UN Equity,Pinnacle West Capital Corp,--,--,90.73,,,,,,,,,,,,,
PNC UN Equity,PNC Financial Services Group Inc/The,--,--,185.65,,,,,,,,,,,,,
PPG UN Equity,PPG Industries Inc,--,--,104.16,,,,,,,,,,,,,
DASH UW Equity,DoorDash Inc,--,--,247.21,,,,,,,,,,,,,
PGR UN Equity,Progressive Corp/The,--,--,241.71,,,,,,,,,,,,,
VLTO UN Equity,Veralto Corp,--,--,103.97,,,,,,,,,,,,,
PEG UN Equity,Public Service Enterprise Group Inc,--,--,89.34,,,,,,,,,,,,,
COO UW Equity,Cooper Cos Inc/The,--,--,70.78,,,,,,,,,,,,,
EIX UN Equity,Edison International,--,--,52.73,,,,,,,,,,,,,
SLB UN Equity,Schlumberger NV,--,--,33.07,,,,,,,,,,,,,
SCHW UN Equity,Charles Schwab Corp/The,--,--,95.56,,,,,,,,,,,,,
SHW UN Equity,Sherwin-Williams Co/The,--,--,343.89,,,,,,,,,,,,,
WST UN Equity,West Pharmaceutical Services Inc,--,--,240.08,,,,,,,,,,,,,
